date,country,country_code,project,access,article,qid,views
2017-02-09,France,FR,fr.wikipedia,1695137,Twitter,Q918,452
2017-02-09,Germany,DE,de.wikipedia,1397776,YouTube,Q866,1678
2017-02-09,Germany,DE,en.wikipedia,3524766,YouTube,Q866,506
2017-02-09,Germany,DE,en.wikipedia,7529378,Facebook,Q355,769
2017-02-09,Germany,DE,de.wikipedia,6501279,Instagram,Q209330,1234
2017-02-09,Germany,DE,de.wikipedia,1783100,Facebook,Q355,1325
2017-02-09,Italy,IT,it.wikipedia,2658829,Facebook,Q355,2194
2017-02-09,Brazil,BR,pt.wikipedia,330581,YouTube,Q866,1197
2017-02-09,United States of America,US,en.wikipedia,7529378,Facebook,Q355,7861
2017-02-09,India,IN,en.wikipedia,7529378,Facebook,Q355,2523
2017-02-09,Taiwan,TW,zh.wikipedia,293080,U2B,Q866,631
2017-02-09,Netherlands,NL,nl.wikipedia,490956,YouTube,Q866,480
2017-02-09,Mexico,MX,en.wikipedia,7529378,Facebook,Q355,756
2017-02-09,India,IN,en.wikipedia,31591547,Instagram,Q209330,689
2017-02-09,Morocco,MA,fr.wikipedia,3252248,Facebook,Q355,724
2017-02-09,Italy,IT,en.wikipedia,7529378,Facebook,Q355,630
2017-02-09,Brazil,BR,pt.wikipedia,3876652,WhatsApp,Q1049511,881
2017-02-09,Italy,IT,it.wikipedia,3700969,Instagram,Q209330,571
2017-02-09,Angola,AO,pt.wikipedia,1051474,Facebook,Q355,3669
2017-02-09,Algeria,DZ,fr.wikipedia,3252248,Facebook,Q355,911
2017-02-09,Canada,CA,en.wikipedia,3524766,YouTube,Q866,746
2017-02-09,Indonesia,ID,en.wikipedia,7529378,Facebook,Q355,543
2017-02-09,Ukraine,UA,ru.wikipedia,275424,YouTube,Q866,1677
2017-02-09,India,IN,en.wikipedia,32058867,WhatsApp,Q1049511,1746
2017-02-09,Poland,PL,pl.wikipedia,553300,YouTube,Q866,809
2017-02-09,Spain,ES,es.wikipedia,5125182,Instagram,Q209330,463
2017-02-09,Ukraine,UA,ru.wikipedia,919912,Facebook,Q355,532
2017-02-09,United Kingdom,GB,en.wikipedia,3524766,YouTube,Q866,1738
2017-02-09,Japan,JP,ja.wikipedia,986542,Facebook,Q355,980
2017-02-09,Japan,JP,ja.wikipedia,2479550,Instagram,Q209330,1751
2017-02-09,Japan,JP,ja.wikipedia,894212,YouTube,Q866,1451
2017-02-09,Colombia,CO,es.wikipedia,362760,YouTube,Q866,601
2017-02-09,Brazil,BR,en.wikipedia,7529378,Facebook,Q355,604
2017-02-09,United States of America,US,en.wikipedia,3524766,YouTube,Q866,12212
2017-02-09,Colombia,CO,es.wikipedia,1019739,Facebook,Q355,826
2017-02-09,Indonesia,ID,id.wikipedia,102474,YouTube,Q866,807
2017-02-09,France,FR,fr.wikipedia,3252248,Facebook,Q355,4728
2017-02-09,Mexico,MX,es.wikipedia,362760,YouTube,Q866,1212
2017-02-09,Spain,ES,es.wikipedia,362760,YouTube,Q866,696
2017-02-09,United Kingdom,GB,en.wikipedia,9988187,Twitter,Q918,983
2017-02-09,Peru,PE,es.wikipedia,1019739,Facebook,Q355,491
2017-02-09,United States of America,US,en.wikipedia,32058867,WhatsApp,Q1049511,1559
2017-02-09,Germany,DE,de.wikipedia,2426353,Twitter,Q918,922
2017-02-09,United Kingdom,GB,en.wikipedia,7529378,Facebook,Q355,1238
2017-02-09,United Kingdom,GB,en.wikipedia,31591547,Instagram,Q209330,614
2017-02-09,United States of America,US,en.wikipedia,31591547,Instagram,Q209330,2171
2017-02-09,India,IN,en.wikipedia,3524766,YouTube,Q866,1068
2017-02-09,Italy,IT,it.wikipedia,2763155,YouTube,Q866,1116
2017-02-09,France,FR,fr.wikipedia,5969224,Instagram,Q209330,539
2017-02-09,France,FR,fr.wikipedia,776823,YouTube,Q866,1714
2017-02-09,Poland,PL,pl.wikipedia,722829,Facebook,Q355,663
2017-02-09,United States of America,US,en.wikipedia,9988187,Twitter,Q918,2853
2017-02-09,Japan,JP,ja.wikipedia,1036212,Twitter,Q918,2413
2017-02-09,Germany,DE,de.wikipedia,6787305,WhatsApp,Q1049511,995
2017-02-09,Brazil,BR,pt.wikipedia,1051474,Facebook,Q355,1127
